,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_12111111.xes,Hybrid ILP miner)",20,0,0.9852281360342515,2,10,0.55,3.7142857142857144,4,0.875,1.2,0.12121212121212122,1,3
"(pdc2025_10001110.xes,Hybrid ILP miner)",42,3,0.9910760598382222,13,34,0.9523809523809523,3.925925925925926,7,0.9850746268656716,1.5952380952380953,0.07613636363636364,1,11
"(pdc2025_02010010.xes,Hybrid ILP miner)",35,0,0.8453509366224364,5,11,0.5714285714285714,3.4545454545454546,4,0.6666666666666667,1.2,0.06907894736842106,1,7
"(pdc2025_00110000.xes,Hybrid ILP miner)",22,0,1.0,1,5,0.2272727272727273,3.5,4,0.5,1.0909090909090908,0.09917355371900827,1,1
"(pdc2025_02100100.xes,Hybrid ILP miner)",37,0,0.9980008838722996,7,25,0.7837837837837838,3.8947368421052633,7,0.8333333333333334,1.4594594594594594,0.07941176470588235,1,3
"(pdc2025_00011000.xes,Hybrid ILP miner)",40,4,0.9456603046006401,12,26,0.925,4.090909090909091,7,0.9193548387096774,1.55,0.07828282828282829,1,12
"(pdc2025_00000100.xes,Hybrid ILP miner)",40,2,0.9760206482366149,11,27,0.85,4.0,7,0.8524590163934427,1.525,0.07625,1,5
"(pdc2025_11011010.xes,Hybrid ILP miner)",39,0,0.9819407868640977,9,20,0.9230769230769231,3.6842105263157894,6,0.8333333333333334,1.3846153846153846,0.07142857142857142,1,9
"(pdc2025_01100100.xes,Hybrid ILP miner)",36,0,0.9709505944546686,4,20,0.7777777777777778,3.7333333333333334,7,0.8125,1.3333333333333333,0.075,1,2
"(pdc2025_01100111.xes,Hybrid ILP miner)",36,0,0.9709505944546686,4,20,0.7777777777777778,3.7333333333333334,7,0.8125,1.3333333333333333,0.075,1,2
"(pdc2025_00111100.xes,Hybrid ILP miner)",24,0,0.8812908992306927,4,10,0.41666666666666663,3.4,4,0.8666666666666667,1.25,0.1048951048951049,1,5
"(pdc2025_12010110.xes,Hybrid ILP miner)",34,6,0.9182958340544896,7,15,0.8235294117647058,3.6,6,0.7555555555555555,1.3235294117647058,0.078125,1,5
"(pdc2025_00010010.xes,Hybrid ILP miner)",37,2,0.8960382325345574,5,15,0.7837837837837838,3.375,5,0.8085106382978724,1.2702702702702702,0.06871345029239766,1,6
"(pdc2025_11101110.xes,Hybrid ILP miner)",38,0,0.9957274520849255,10,32,0.9210526315789473,3.769230769230769,7,0.9833333333333333,1.5789473684210527,0.08333333333333333,1,7
"(pdc2025_00111111.xes,Hybrid ILP miner)",22,0,0.9910760598382222,3,11,0.4545454545454546,3.5555555555555554,4,0.8928571428571429,1.2727272727272727,0.11570247933884298,1,4
"(pdc2025_11010011.xes,Hybrid ILP miner)",35,0,0.7219280948873623,4,8,0.8285714285714285,3.2,4,0.6,1.1428571428571428,0.06578947368421052,1,5
"(pdc2025_01000000.xes,Hybrid ILP miner)",62,1,0.863120568566631,3,22,0.9032258064516129,3.238095238095238,5,0.7972972972972973,1.1935483870967742,0.038865546218487396,1,0
"(pdc2025_00101011.xes,Hybrid ILP miner)",41,0,0.9494520153879484,4,19,0.926829268292683,3.263157894736842,5,0.8846153846153846,1.2682926829268293,0.06220095693779904,1,4
"(pdc2025_02001010.xes,Hybrid ILP miner)",72,10,0.995978956518722,140,206,0.9444444444444444,10.626865671641792,22,1.0,5.0,0.1393188854489164,1,27
"(pdc2025_01011011.xes,Hybrid ILP miner)",49,0,0.9709505944546686,18,40,0.9183673469387755,4.4,8,0.9404761904761905,1.7142857142857142,0.07,1,13
"(pdc2025_02011111.xes,Hybrid ILP miner)",47,3,0.9402859586706311,14,29,0.8723404255319149,3.642857142857143,7,0.9710144927536232,1.4680851063829787,0.06318681318681318,1,16
"(pdc2025_11111000.xes,Hybrid ILP miner)",23,0,0.9456603046006401,4,12,0.4782608695652174,3.4545454545454546,4,0.9666666666666667,1.3043478260869565,0.11363636363636363,1,5
"(pdc2025_11011100.xes,Hybrid ILP miner)",41,1,0.9957274520849255,18,36,0.9512195121951219,4.6923076923076925,8,0.9333333333333333,1.829268292682927,0.08971291866028708,1,10
"(pdc2025_01000111.xes,Hybrid ILP miner)",59,1,0.9927744539878083,29,64,0.8983050847457628,5.1,13,0.9333333333333333,2.0338983050847457,0.06912442396313365,1,11
"(pdc2025_01111111.xes,Hybrid ILP miner)",22,0,0.9910760598382222,3,11,0.4545454545454546,3.5555555555555554,4,0.8928571428571429,1.2727272727272727,0.11570247933884298,1,4
"(pdc2025_12010000.xes,Hybrid ILP miner)",34,1,0.9852281360342515,2,7,0.7941176470588236,3.4285714285714284,5,0.5526315789473684,1.1176470588235294,0.0657439446366782,1,1
"(pdc2025_00001100.xes,Hybrid ILP miner)",42,0,0.9910760598382222,14,35,0.9523809523809523,4.0,7,0.9852941176470589,1.619047619047619,0.07727272727272727,1,11
"(pdc2025_02000011.xes,Hybrid ILP miner)",66,10,0.9957274520849255,17,60,0.9242424242424242,4.512820512820513,12,0.9385964912280702,1.7272727272727273,0.05357142857142857,1,7
"(pdc2025_00100110.xes,Hybrid ILP miner)",36,0,0.9709505944546686,4,20,0.7777777777777778,3.7333333333333334,7,0.8125,1.3333333333333333,0.075,1,2
"(pdc2025_02100010.xes,Hybrid ILP miner)",40,0,0.0,0,10,0.8,3.0,3,0.6818181818181819,1.1,0.05555555555555555,1,0
"(pdc2025_12100100.xes,Hybrid ILP miner)",37,0,0.9910760598382222,6,23,0.7837837837837838,3.7777777777777777,7,0.8269230769230769,1.4054054054054055,0.07647058823529412,1,3
"(pdc2025_11000100.xes,Hybrid ILP miner)",44,6,0.9910760598382222,5,22,0.8636363636363636,3.6666666666666665,6,0.7758620689655172,1.3181818181818181,0.060041407867494824,1,2
"(pdc2025_01111010.xes,Hybrid ILP miner)",22,0,0.9910760598382222,3,11,0.4545454545454546,3.5555555555555554,4,0.8928571428571429,1.2727272727272727,0.11570247933884298,1,4
"(pdc2025_02101000.xes,Hybrid ILP miner)",40,0,0.9774178175281716,4,17,0.925,3.2941176470588234,5,0.8200000000000001,1.25,0.06265664160401002,1,4
"(pdc2025_02000110.xes,Hybrid ILP miner)",58,10,0.9736680645496201,40,89,0.8620689655172413,6.571428571428571,21,0.9673202614379085,2.6379310344827585,0.09375,1,10
"(pdc2025_02001000.xes,Hybrid ILP miner)",65,7,1.0,25,70,0.9076923076923077,4.458333333333333,8,1.0,1.8923076923076922,0.059941520467836254,1,13
"(pdc2025_11111011.xes,Hybrid ILP miner)",22,0,0.9910760598382222,3,11,0.4545454545454546,3.5555555555555554,4,0.8928571428571429,1.2727272727272727,0.11570247933884298,1,4
"(pdc2025_10111110.xes,Hybrid ILP miner)",22,0,0.9910760598382222,3,11,0.4545454545454546,3.5555555555555554,4,0.8928571428571429,1.2727272727272727,0.11570247933884298,1,4
"(pdc2025_10011000.xes,Hybrid ILP miner)",37,6,0.9975025463691152,11,24,0.9189189189189189,4.705882352941177,7,0.8135593220338984,1.5945945945945945,0.08676470588235294,1,9
"(pdc2025_01100110.xes,Hybrid ILP miner)",36,0,0.9709505944546686,4,20,0.7777777777777778,3.7333333333333334,7,0.8125,1.3333333333333333,0.075,1,2
"(pdc2025_12111100.xes,Hybrid ILP miner)",20,0,0.9852281360342515,2,10,0.55,3.7142857142857144,4,0.875,1.2,0.12121212121212122,1,3
"(pdc2025_01111000.xes,Hybrid ILP miner)",23,0,0.9456603046006401,4,12,0.4782608695652174,3.4545454545454546,4,0.9666666666666667,1.3043478260869565,0.11363636363636363,1,5
"(pdc2025_11011110.xes,Hybrid ILP miner)",47,14,0.997772472089982,35,56,0.9574468085106383,5.388888888888889,11,0.9906542056074766,2.276595744680851,0.09727272727272727,1,16
"(pdc2025_02111010.xes,Hybrid ILP miner)",26,0,0.7219280948873623,5,9,0.5384615384615384,3.4,4,0.8125,1.2307692307692308,0.09696969696969697,1,7
"(pdc2025_00001111.xes,Hybrid ILP miner)",42,0,0.9910760598382222,14,35,0.9523809523809523,4.0,7,0.9852941176470589,1.619047619047619,0.07727272727272727,1,11
