,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_01111111.xes,Inductive miner)",34,0,0.0,0,30,1.0,15.0,18,1.0,1.7647058823529411,0.25,3,0
"(pdc2025_12010000.xes,Inductive miner)",57,0,0.863120568566631,3,39,0.9649122807017544,6.571428571428571,15,0.9545454545454546,1.543859649122807,0.06707317073170732,8,0
"(pdc2025_00001100.xes,Inductive miner)",55,0,0.4689955935892812,3,19,0.9272727272727272,3.1,5,0.8484848484848485,1.2,0.044,11,0
"(pdc2025_02000011.xes,Inductive miner)",44,0,0.0,0,40,1.0,20.0,34,1.0,1.8181818181818181,0.25,3,0
"(pdc2025_00100110.xes,Inductive miner)",161,0,0.18312206830137276,17,71,0.9875776397515528,3.4444444444444446,19,1.0,1.3167701863354038,0.016541822721598,70,0
"(pdc2025_02100010.xes,Inductive miner)",44,0,0.0,0,40,1.0,20.0,27,1.0,1.8181818181818181,0.25,3,0
"(pdc2025_12100100.xes,Inductive miner)",104,3,0.7682814090975242,8,57,0.9615384615384616,3.5918367346938775,12,0.9859154929577465,1.3653846153846154,0.02748741773132017,30,0
"(pdc2025_11000100.xes,Inductive miner)",73,0,0.6665783579949205,5,42,0.9726027397260274,4.956521739130435,22,0.9622641509433962,1.452054794520548,0.04416666666666667,18,0
"(pdc2025_01111010.xes,Inductive miner)",36,0,0.0,0,32,1.0,16.0,18,1.0,1.7777777777777777,0.25,3,0
"(pdc2025_02101000.xes,Inductive miner)",69,1,0.8112781244591328,3,50,0.9710144927536232,5.25,28,1.0,1.565217391304348,0.058823529411764705,14,0
"(pdc2025_02000110.xes,Inductive miner)",177,0,0.5524951143251111,14,87,0.9887005649717514,3.5384615384615383,12,1.0,1.3333333333333333,0.01554267650158061,71,0
"(pdc2025_02001000.xes,Inductive miner)",58,0,0.6840384356390417,2,43,0.9310344827586207,8.545454545454545,32,0.9574468085106383,1.6206896551724137,0.08034188034188035,8,0
"(pdc2025_11111011.xes,Inductive miner)",81,0,0.7088356733321961,4,48,1.0,4.258064516129032,13,1.0,1.4320987654320987,0.039780521262002745,25,0
"(pdc2025_10111110.xes,Inductive miner)",136,0,0.21084230031853213,13,60,0.9852941176470589,3.433333333333333,15,1.0,1.3088235294117647,0.019517543859649124,60,0
"(pdc2025_10011000.xes,Inductive miner)",42,0,0.5916727785823275,1,13,0.9047619047619048,2.857142857142857,3,0.7708333333333334,1.1428571428571428,0.05491990846681922,6,0
"(pdc2025_01100110.xes,Inductive miner)",57,0,0.5435644431995964,2,40,1.0,6.125,22,1.0,1.5789473684210527,0.07475083056478406,13,0
"(pdc2025_12111100.xes,Inductive miner)",79,0,0.8418521897563207,5,52,0.9746835443037974,3.891891891891892,10,1.0,1.4430379746835442,0.0405982905982906,22,0
"(pdc2025_01111000.xes,Inductive miner)",44,0,0.0,0,36,0.9545454545454546,9.0,24,1.0,1.6363636363636365,0.125,7,0
"(pdc2025_11011110.xes,Inductive miner)",50,1,0.6500224216483541,1,37,0.96,6.833333333333333,20,1.0,1.56,0.08552631578947369,11,0
"(pdc2025_02111010.xes,Inductive miner)",40,0,0.0,0,36,1.0,18.0,24,1.0,1.8,0.25,3,0
"(pdc2025_00001111.xes,Inductive miner)",109,2,0.5770042503157248,9,54,0.981651376146789,3.411764705882353,9,1.0,1.3211009174311927,0.024844720496894408,44,0
