,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_00110100.xes,Alpha Plus miner)",32,0,0.863120568566631,17,35,0.9375,5.142857142857143,30,1.0,2.0,0.12549019607843137,0,2
"(pdc2025_11110011.xes,Alpha Plus miner)",52,3,0.9975025463691152,22,35,0.9615384615384616,4.0588235294117645,10,1.0,1.5576923076923077,0.060267857142857144,0,16
"(pdc2025_12101000.xes,Alpha Plus miner)",144,42,0.8140372976396064,175,180,1.0,5.636363636363637,22,1.0,2.8055555555555554,0.051954732510288065,0,102
"(pdc2025_11111111.xes,Alpha Plus miner)",54,6,0.9182958340544896,28,42,0.962962962962963,4.611111111111111,12,1.0,1.7962962962962963,0.06662087912087912,0,23
"(pdc2025_00110111.xes,Alpha Plus miner)",19,4,0.9709505944546686,7,25,0.7894736842105263,6.8,12,1.0,2.1578947368421053,0.3416666666666667,0,0
"(pdc2025_12100110.xes,Alpha Plus miner)",84,22,0.8546480601169081,70,69,0.9523809523809523,4.897058823529412,15,1.0,2.0714285714285716,0.05228365384615385,0,45
"(pdc2025_00100100.xes,Alpha Plus miner)",38,0,0.9402859586706311,38,61,0.9473684210526316,7.357142857142857,36,1.0,2.9473684210526314,0.15555555555555556,0,3
"(pdc2025_11000010.xes,Alpha Plus miner)",69,22,0.9985090989176322,34,42,0.9855072463768116,4.159090909090909,10,0.972972972972973,1.608695652173913,0.046875,0,28
"(pdc2025_02011011.xes,Alpha Plus miner)",85,15,0.9559312637896478,51,71,0.9764705882352941,4.60655737704918,11,1.0,1.8705882352941177,0.046875,0,47
"(pdc2025_10000111.xes,Alpha Plus miner)",23,10,1.0,0,9,0.7391304347826086,3.8333333333333335,7,0.9444444444444444,0.782608695652174,0.1,0,0
"(pdc2025_11110010.xes,Alpha Plus miner)",52,3,0.9975025463691152,22,35,0.9615384615384616,4.0588235294117645,10,1.0,1.5576923076923077,0.060267857142857144,0,16
"(pdc2025_00111110.xes,Alpha Plus miner)",17,3,0.0,0,13,0.8823529411764706,11.5,13,1.0,1.3529411764705883,0.38333333333333336,0,0
"(pdc2025_01011100.xes,Alpha Plus miner)",58,3,0.9426831892554922,51,88,1.0,5.84,60,1.0,2.6379310344827585,0.09194711538461539,0,16
"(pdc2025_02000010.xes,Alpha Plus miner)",123,34,0.8502079949955313,109,104,0.991869918699187,4.8,15,0.9962264150943396,2.154471544715447,0.04230523627075351,0,81
"(pdc2025_11111110.xes,Alpha Plus miner)",54,6,0.9182958340544896,28,42,0.962962962962963,4.611111111111111,12,1.0,1.7962962962962963,0.06662087912087912,0,23
"(pdc2025_10010110.xes,Alpha Plus miner)",18,2,1.0,1,12,0.8888888888888888,5.0,9,1.0,1.2222222222222223,0.24444444444444444,0,0
"(pdc2025_12101100.xes,Alpha Plus miner)",119,25,0.8314743880097293,126,131,1.0,5.228070175438597,19,1.0,2.5294117647058822,0.05405890804597701,0,80
"(pdc2025_01101100.xes,Alpha Plus miner)",73,2,0.9709505944546686,44,64,1.0,4.545454545454546,13,0.9857142857142858,1.917808219178082,0.054858934169279,0,31
"(pdc2025_10000000.xes,Alpha Plus miner)",38,0,0.7219280948873623,1,9,0.9473684210526316,3.0,3,0.7142857142857143,1.105263157894737,0.058333333333333334,0,0
"(pdc2025_02111100.xes,Alpha Plus miner)",65,2,0.9935704757706079,33,57,0.9692307692307692,4.0,8,1.0,1.7692307692307692,0.05507662835249042,0,27
"(pdc2025_12000011.xes,Alpha Plus miner)",115,33,0.857558799850773,112,114,0.9739130434782609,5.145631067961165,17,1.0,2.365217391304348,0.04781997187060478,0,71
"(pdc2025_10110000.xes,Alpha Plus miner)",38,0,0.5916727785823275,6,8,0.9473684210526316,3.0,3,0.8863636363636364,1.1578947368421053,0.0625,0,8
"(pdc2025_01100000.xes,Alpha Plus miner)",86,9,0.9605187074766162,56,83,0.9767441860465116,4.575342465753424,12,0.9832402234636871,2.0813953488372094,0.05179398148148148,0,37
"(pdc2025_10100000.xes,Alpha Plus miner)",39,4,0.9402859586706311,3,11,0.9487179487179487,3.0,3,0.7333333333333334,1.1538461538461537,0.05921052631578947,0,1
"(pdc2025_10111011.xes,Alpha Plus miner)",18,1,0.0,0,13,0.8888888888888888,12.5,13,1.0,1.3888888888888888,0.390625,0,0
"(pdc2025_02000111.xes,Alpha Plus miner)",62,6,0.9633355456726841,58,94,0.967741935483871,6.346938775510204,57,1.0,2.564516129032258,0.0828125,0,22
"(pdc2025_11011111.xes,Alpha Plus miner)",49,14,0.9991421039919088,19,38,0.9591836734693877,4.310344827586207,10,0.948051948051948,1.5714285714285714,0.06438127090301003,0,14
"(pdc2025_00110011.xes,Alpha Plus miner)",18,1,0.0,0,10,0.8888888888888888,10.5,11,1.0,1.1666666666666667,0.328125,0,0
"(pdc2025_11001011.xes,Alpha Plus miner)",93,42,0.9271587399898308,59,95,0.989247311827957,4.780821917808219,19,1.0,2.064516129032258,0.04918032786885246,0,51
"(pdc2025_10110110.xes,Alpha Plus miner)",17,0,0.0,0,9,0.8823529411764706,9.0,9,1.0,1.0588235294117647,0.3,0,0
"(pdc2025_01001111.xes,Alpha Plus miner)",61,14,1.0,24,49,0.9836065573770492,3.9047619047619047,9,1.0,1.5737704918032787,0.05172413793103448,0,26
"(pdc2025_10101000.xes,Alpha Plus miner)",39,4,0.9819407868640977,5,16,1.0,3.0526315789473686,4,0.8775510204081632,1.2564102564102564,0.06447368421052632,0,5
"(pdc2025_00110010.xes,Alpha Plus miner)",18,1,0.0,0,10,0.8888888888888888,10.5,11,1.0,1.1666666666666667,0.328125,0,0
"(pdc2025_11000011.xes,Alpha Plus miner)",69,22,0.9985090989176322,34,42,0.9855072463768116,4.159090909090909,10,0.972972972972973,1.608695652173913,0.046875,0,28
"(pdc2025_12110011.xes,Alpha Plus miner)",74,27,0.906579548498746,63,71,0.972972972972973,5.237288135593221,17,1.0,2.175675675675676,0.059895833333333336,0,32
"(pdc2025_00001010.xes,Alpha Plus miner)",31,10,0.9852281360342515,6,21,0.9032258064516129,4.428571428571429,11,1.0,1.3870967741935485,0.09772727272727273,0,6
"(pdc2025_02101010.xes,Alpha Plus miner)",98,14,0.8680403986166403,73,80,0.9693877551020408,4.7894736842105265,14,1.0,1.989795918367347,0.043682795698924734,0,55
"(pdc2025_11000110.xes,Alpha Plus miner)",62,20,0.9807983646944296,30,57,0.967741935483871,4.465116279069767,11,1.0,1.7419354838709677,0.05642633228840126,0,28
"(pdc2025_00001000.xes,Alpha Plus miner)",38,0,0.954434002924965,3,14,1.0,3.0,3,0.8695652173913043,1.2105263157894737,0.06388888888888888,0,4
"(pdc2025_00001110.xes,Alpha Plus miner)",30,4,0.9402859586706311,8,22,0.9,4.714285714285714,10,1.0,1.5,0.10416666666666667,0,8
"(pdc2025_00111011.xes,Alpha Plus miner)",22,3,0.9940302114769565,9,28,0.8636363636363636,6.909090909090909,12,1.0,2.1363636363636362,0.24479166666666666,0,1
"(pdc2025_11001111.xes,Alpha Plus miner)",56,8,0.9837082626231859,27,52,0.9642857142857143,4.6,11,1.0,1.8392857142857142,0.06577266922094509,0,14
"(pdc2025_11011011.xes,Alpha Plus miner)",49,13,1.0,15,34,0.9183673469387755,3.9,9,1.0,1.4081632653061225,0.058673469387755105,0,15
"(pdc2025_10110100.xes,Alpha Plus miner)",32,0,0.954434002924965,3,7,0.90625,3.25,4,0.6666666666666667,1.125,0.07058823529411765,0,2
"(pdc2025_12111010.xes,Alpha Plus miner)",56,13,0.9837082626231859,33,52,0.9642857142857143,5.05,10,1.0,1.9285714285714286,0.0703125,0,16
"(pdc2025_02101100.xes,Alpha Plus miner)",94,18,0.9029416720373133,133,190,1.0,7.252747252747253,120,1.0,3.5106382978723403,0.08316532258064516,0,52
"(pdc2025_11101111.xes,Alpha Plus miner)",54,2,0.9967916319816366,20,33,0.962962962962963,4.2,11,0.9875,1.4814814814814814,0.05517241379310345,0,16
"(pdc2025_01111100.xes,Alpha Plus miner)",68,4,0.9814538950336537,40,61,1.0,4.56,10,0.9769230769230769,1.911764705882353,0.05952380952380952,0,31
"(pdc2025_01010000.xes,Alpha Plus miner)",59,4,0.9751190649408661,10,23,0.9661016949152542,3.259259259259259,4,0.8,1.271186440677966,0.043202764976958526,0,9
"(pdc2025_01110011.xes,Alpha Plus miner)",58,3,0.9967916319816366,23,36,0.9137931034482758,4.533333333333333,11,1.0,1.5517241379310345,0.05357142857142857,0,21
"(pdc2025_01101010.xes,Alpha Plus miner)",97,56,0.8582307926411411,88,75,0.979381443298969,5.0,20,1.0,2.154639175257732,0.05024038461538462,0,60
"(pdc2025_01111011.xes,Alpha Plus miner)",49,25,0.9895875212220556,14,37,0.9591836734693877,4.4,12,1.0,1.4081632653061225,0.058673469387755105,0,16
"(pdc2025_00010110.xes,Alpha Plus miner)",18,7,0.954434002924965,2,16,0.8888888888888888,5.0,10,1.0,1.3888888888888888,0.2777777777777778,0,0
"(pdc2025_10110010.xes,Alpha Plus miner)",18,1,0.0,0,10,0.8888888888888888,9.5,10,1.0,1.0555555555555556,0.296875,0,0
"(pdc2025_11111010.xes,Alpha Plus miner)",56,1,0.9677884628267678,28,49,0.9642857142857143,4.684210526315789,12,0.9901960784313726,1.8214285714285714,0.06505102040816327,0,22
"(pdc2025_10110011.xes,Alpha Plus miner)",18,1,0.0,0,10,0.8888888888888888,9.5,10,1.0,1.0555555555555556,0.296875,0,0
"(pdc2025_12011000.xes,Alpha Plus miner)",108,29,0.9043814577244937,86,117,1.0,4.78,16,1.0,2.287037037037037,0.05078125,0,66
