,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_12001110.xes,Heuristics miner)",150,6,0.18312206830137276,0,43,0.9066666666666666,3.3333333333333335,5,0.676300578034682,1.1533333333333333,0.015715843023255814,53,0
"(pdc2025_11001010.xes,Heuristics miner)",142,2,0.39124356362925566,1,30,0.971830985915493,3.3076923076923075,4,0.5063291139240507,1.1126760563380282,0.015825320512820512,45,0
"(pdc2025_02001111.xes,Heuristics miner)",157,6,0.17556502585750278,0,51,0.9745222929936306,3.6315789473684212,5,0.7219251336898396,1.1910828025477707,0.015709005376344086,60,0
"(pdc2025_00101010.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_10111111.xes,Heuristics miner)",68,10,0.7642045065086203,3,18,0.9411764705882353,3.4444444444444446,6,0.625,1.1764705882352942,0.03508771929824561,22,0
"(pdc2025_10010010.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_11010000.xes,Heuristics miner)",119,3,0.5916727785823275,2,20,0.957983193277311,3.0476190476190474,4,0.4496124031007752,1.084033613445378,0.018282312925170068,34,0
"(pdc2025_11111100.xes,Heuristics miner)",120,5,0.228538143953528,0,32,0.9666666666666667,3.3333333333333335,5,0.635036496350365,1.1416666666666666,0.019372171945701358,41,0
"(pdc2025_10111100.xes,Heuristics miner)",69,9,0.7424875695421236,3,20,0.9420289855072463,3.473684210526316,6,0.6585365853658536,1.1884057971014492,0.03504273504273504,23,0
"(pdc2025_10101011.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_11101010.xes,Heuristics miner)",142,2,0.39124356362925566,1,30,0.971830985915493,3.3076923076923075,4,0.5063291139240507,1.1126760563380282,0.015825320512820512,45,0
"(pdc2025_02100000.xes,Heuristics miner)",164,2,0.2761954276479391,1,44,0.975609756097561,3.0952380952380953,4,0.6666666666666667,1.1341463414634145,0.014039855072463768,55,0
"(pdc2025_02001011.xes,Heuristics miner)",182,2,0.2580186686648155,1,64,0.978021978021978,3.782608695652174,5,0.7567567567567568,1.2197802197802199,0.014015151515151515,73,0
"(pdc2025_11101000.xes,Heuristics miner)",142,2,0.39124356362925566,1,30,0.971830985915493,3.3076923076923075,4,0.5063291139240507,1.1126760563380282,0.015825320512820512,45,0
"(pdc2025_12100011.xes,Heuristics miner)",162,2,0.2974722489192896,1,40,0.9753086419753086,3.1052631578947367,4,0.6153846153846154,1.123456790123457,0.01404320987654321,53,0
"(pdc2025_02011010.xes,Heuristics miner)",165,5,0.1654270339962668,0,60,0.9757575757575757,3.902439024390244,5,0.7733990147783252,1.2303030303030302,0.015702351485148515,68,0
"(pdc2025_00110100.xes,Heuristics miner)",69,9,0.7424875695421236,3,20,0.9420289855072463,3.473684210526316,6,0.6585365853658536,1.1884057971014492,0.03504273504273504,23,0
