,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02011000.xes,Alpha miner)",81,15,0.9962088839046742,37,69,1.0,3.7681159420289854,8,1.0,1.7530864197530864,0.04528061224489796,0,35
"(pdc2025_01001010.xes,Alpha miner)",78,33,0.9798687566511528,52,58,0.9743589743589743,4.466666666666667,9,1.0,1.8846153846153846,0.049932065217391304,0,38
"(pdc2025_01110111.xes,Alpha miner)",68,2,0.9182958340544896,42,53,0.9705882352941176,4.666666666666667,12,0.9922480620155039,1.8970588235294117,0.059065934065934064,0,38
"(pdc2025_00011100.xes,Alpha miner)",30,3,0.8904916402194913,4,10,0.5666666666666667,3.0,4,0.7714285714285715,1.1666666666666667,0.07777777777777778,0,5
"(pdc2025_02100110.xes,Alpha miner)",69,5,0.9709505944546686,34,51,0.9710144927536232,4.333333333333333,11,1.0,1.6376811594202898,0.04771959459459459,0,30
"(pdc2025_02100011.xes,Alpha miner)",121,2,0.7740204128451942,122,130,0.9834710743801653,5.663366336633663,24,1.0,2.4545454545454546,0.04852941176470588,0,82
"(pdc2025_10011011.xes,Alpha miner)",22,1,0.863120568566631,4,14,0.9090909090909091,5.142857142857143,11,1.0,1.3181818181818181,0.15104166666666666,0,4
"(pdc2025_02010000.xes,Alpha miner)",66,14,0.9881108365218301,13,39,0.9696969696969697,3.4871794871794872,7,0.8829787234042553,1.4242424242424243,0.043198529411764705,0,9
"(pdc2025_00010100.xes,Alpha miner)",30,0,0.9182958340544896,2,4,0.3666666666666667,2.8333333333333335,3,0.5333333333333333,1.0,0.06666666666666667,0,1
"(pdc2025_12000111.xes,Alpha miner)",76,41,0.9728063221185,50,51,0.9736842105263158,4.129032258064516,9,1.0,1.8157894736842106,0.049005681818181816,0,33
"(pdc2025_12110010.xes,Alpha miner)",86,14,0.865693994199322,76,86,0.9767441860465116,5.136986301369863,13,1.0,2.244186046511628,0.055844907407407406,0,48
"(pdc2025_02001110.xes,Alpha miner)",73,26,0.9953784388202257,35,59,0.9863013698630136,4.22,8,1.0,1.6575342465753424,0.04611280487804878,0,34
"(pdc2025_11100111.xes,Alpha miner)",79,8,0.8948692308065574,63,74,0.9746835443037974,5.131147540983607,13,1.0,2.1265822784810124,0.057931034482758624,0,46
"(pdc2025_11000111.xes,Alpha miner)",71,48,0.9852281360342515,34,61,0.971830985915493,4.833333333333333,11,0.9838709677419355,1.7464788732394365,0.05090311986863711,0,35
"(pdc2025_00100011.xes,Alpha miner)",29,2,0.8112781244591328,5,13,0.9310344827586207,4.875,10,0.9117647058823529,1.1724137931034482,0.09444444444444444,0,4
"(pdc2025_12001110.xes,Alpha miner)",77,16,0.9603622703154779,45,67,0.974025974025974,4.45,11,1.0,1.87012987012987,0.05,0,38
"(pdc2025_11001010.xes,Alpha miner)",104,49,0.9018043446575508,75,109,1.0,4.847058823529411,21,0.9955156950672646,2.144230769230769,0.048394097222222224,0,65
"(pdc2025_02001111.xes,Alpha miner)",73,26,0.9953784388202257,35,59,0.9863013698630136,4.22,8,1.0,1.6575342465753424,0.04611280487804878,0,34
"(pdc2025_00101010.xes,Alpha miner)",30,2,0.8112781244591328,4,15,0.9333333333333333,4.875,11,0.8918918918918919,1.2333333333333334,0.0925,0,2
"(pdc2025_10111111.xes,Alpha miner)",17,1,0.0,0,12,0.8823529411764706,11.5,12,1.0,1.3529411764705883,0.38333333333333336,0,0
"(pdc2025_10010010.xes,Alpha miner)",27,6,0.8453509366224364,6,18,0.8518518518518519,5.0,12,0.9523809523809523,1.5555555555555556,0.11931818181818182,0,5
"(pdc2025_11010000.xes,Alpha miner)",68,8,0.9957274520849255,22,31,0.9705882352941176,3.58974358974359,7,0.9081632653061225,1.4411764705882353,0.04375,0,18
"(pdc2025_11111100.xes,Alpha miner)",71,11,0.9784493292686189,45,67,1.0,4.551724137931035,12,0.9930555555555556,2.028169014084507,0.06153846153846154,0,36
"(pdc2025_10111100.xes,Alpha miner)",30,3,0.8904916402194913,4,10,0.5666666666666667,3.0,4,0.7714285714285715,1.1666666666666667,0.07777777777777778,0,5
"(pdc2025_10101011.xes,Alpha miner)",33,5,0.8812908992306927,9,17,0.9393939393939394,5.7,13,0.9375,1.4545454545454546,0.09230769230769231,0,8
"(pdc2025_11101010.xes,Alpha miner)",100,38,0.8423074510400834,99,94,0.98,5.352941176470588,17,1.0,2.38,0.0546875,0,62
"(pdc2025_02100000.xes,Alpha miner)",109,25,0.9081783472997051,96,138,0.981651376146789,5.2745098039215685,17,0.9963636363636363,2.522935779816514,0.052321156773211565,0,57
"(pdc2025_02001011.xes,Alpha miner)",91,5,0.9582407282588408,60,78,0.989010989010989,4.633802816901408,12,0.9943502824858758,1.945054945054945,0.0446969696969697,0,47
"(pdc2025_11101000.xes,Alpha miner)",123,36,0.8366407419411672,125,160,1.0,5.433333333333334,22,1.0,2.6747967479674797,0.056490384615384616,0,84
"(pdc2025_12100011.xes,Alpha miner)",116,10,0.7910662980902585,108,118,0.9913793103448276,5.148514851485149,19,1.0,2.310344827586207,0.04652777777777778,0,74
"(pdc2025_02011010.xes,Alpha miner)",100,15,0.8968928834064589,80,88,0.98,4.807228915662651,16,1.0,2.13,0.04894301470588235,0,61
"(pdc2025_00110100.xes,Alpha miner)",30,0,0.9182958340544896,2,4,0.3666666666666667,2.8333333333333335,3,0.5333333333333333,1.0,0.06666666666666667,0,1
"(pdc2025_11110011.xes,Alpha miner)",77,8,0.8890349038123858,62,76,0.974025974025974,5.080645161290323,16,1.0,2.1818181818181817,0.061224489795918366,0,45
"(pdc2025_12101000.xes,Alpha miner)",144,42,0.8140372976396064,175,180,1.0,5.636363636363637,22,1.0,2.8055555555555554,0.051954732510288065,0,102
"(pdc2025_11111111.xes,Alpha miner)",70,7,0.8497511372532974,55,69,0.9714285714285714,4.982758620689655,12,1.0,2.2,0.0673076923076923,0,41
"(pdc2025_00110111.xes,Alpha miner)",20,5,0.9182958340544896,1,11,0.95,5.0,10,0.96,1.25,0.16666666666666666,0,1
"(pdc2025_12100110.xes,Alpha miner)",96,31,0.863120568566631,90,83,0.9791666666666666,5.298701298701299,14,1.0,2.25,0.052734375,0,59
"(pdc2025_00100100.xes,Alpha miner)",34,4,1.0,1,5,0.7352941176470589,2.8333333333333335,3,0.4545454545454546,0.9705882352941176,0.057291666666666664,0,0
