,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_01100010.xes,Directly Follows miner)",350,1,0,0,315,0.9885714285714285,18.58823529411765,33,1.0,1.8057142857142856,0.029411764705882353,283,0
"(pdc2025_01001011.xes,Directly Follows miner)",451,0,0,0,416,1.0,24.529411764705884,36,1.0,1.8492239467849223,0.029411764705882353,384,0
"(pdc2025_02011000.xes,Directly Follows miner)",464,0,0,0,429,1.0,25.294117647058822,37,1.0,1.853448275862069,0.029411764705882353,397,0
"(pdc2025_01001010.xes,Directly Follows miner)",451,0,0,0,416,1.0,24.529411764705884,36,1.0,1.8492239467849223,0.029411764705882353,384,0
"(pdc2025_01110111.xes,Directly Follows miner)",220,1,0,0,190,0.9681818181818181,14.148148148148149,30,0.9947916666666666,1.7454545454545454,0.03571428571428571,165,0
"(pdc2025_00011100.xes,Directly Follows miner)",112,0,0,0,94,0.9910714285714286,11.176470588235293,21,1.0,1.6964285714285714,0.058823529411764705,79,0
"(pdc2025_02100110.xes,Directly Follows miner)",391,1,0,0,357,0.9846547314578005,21.0,45,1.0,1.826086956521739,0.029411764705882353,324,0
"(pdc2025_02100011.xes,Directly Follows miner)",492,0,0,0,454,0.9898373983739838,23.894736842105264,42,1.0,1.8455284552845528,0.02631578947368421,417,0
"(pdc2025_10011011.xes,Directly Follows miner)",129,0,0,0,110,1.0,12.333333333333334,17,1.0,1.7209302325581395,0.05555555555555555,94,0
"(pdc2025_02010000.xes,Directly Follows miner)",398,0,0,0,362,0.9899497487437185,22.6875,35,0.9972527472527473,1.829145728643216,0.029411764705882353,331,0
"(pdc2025_00010100.xes,Directly Follows miner)",111,0,0,0,92,0.954954954954955,12.4,20,0.9893617021276596,1.6936936936936937,0.058823529411764705,78,0
