,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_12111110.xes,Directly Follows miner)",263,3,0,0,229,0.9771863117870723,15.862068965517242,42,0.9913793103448276,1.7642585551330798,0.03225806451612903,202,0
"(pdc2025_11010100.xes,Directly Follows miner)",219,1,0,0,188,0.9771689497716896,14.615384615384615,37,0.9947643979057592,1.7442922374429224,0.03571428571428571,164,0
"(pdc2025_12001000.xes,Directly Follows miner)",449,1,0,0,410,1.0,21.63157894736842,36,1.0,1.8307349665924275,0.02631578947368421,374,0
"(pdc2025_10101111.xes,Directly Follows miner)",136,1,0,0,114,0.9779411764705882,11.6,22,1.0,1.7058823529411764,0.05,97,0
"(pdc2025_10111000.xes,Directly Follows miner)",83,1,0,0,62,1.0,7.222222222222222,13,1.0,1.5662650602409638,0.05555555555555555,48,0
"(pdc2025_02111011.xes,Directly Follows miner)",443,0,0,0,408,0.9954853273137697,24.058823529411764,38,1.0,1.8465011286681716,0.029411764705882353,376,0
"(pdc2025_12100000.xes,Directly Follows miner)",219,0,0,0,172,0.9817351598173516,11.0,24,0.9723756906077348,1.6529680365296804,0.02631578947368421,144,0
"(pdc2025_02111000.xes,Directly Follows miner)",259,3,0,0,223,1.0,13.235294117647058,30,1.0,1.7374517374517375,0.029411764705882353,192,0
"(pdc2025_01110010.xes,Directly Follows miner)",230,0,0,0,198,0.9782608695652174,13.724137931034482,27,0.995,1.7391304347826086,0.03333333333333333,171,0
"(pdc2025_01011111.xes,Directly Follows miner)",304,1,0,0,275,0.993421052631579,19.714285714285715,41,1.0,1.8157894736842106,0.03571428571428571,249,0
"(pdc2025_01001000.xes,Directly Follows miner)",391,1,0,0,356,1.0,21.0,33,1.0,1.826086956521739,0.029411764705882353,324,0
"(pdc2025_01101011.xes,Directly Follows miner)",360,3,0,0,326,0.9972222222222222,19.176470588235293,35,1.0,1.8111111111111111,0.029411764705882353,293,0
